kurtosis,log_energy,norm,range,rms,shannon,skew,std_dev,sure,threshold,defect_loc
2.8897,-6.06E+05,1.25E+04,1.3921,0.1536,8.71E+03,2.04E-02,1.54E-01,-1.19E+05,6.34E+04,2.00E+00
2.8314,-6.15E+05,1.20E+04,1.1713,0.1473,8.25E+03,2.71E-02,1.47E-01,-1.19E+05,6.15E+04,2.00E+00
2.9638,-6.31E+05,1.17E+03,1.2993,0.1391,7.57E+03,7.50E-03,1.39E-01,-1.19E+05,5.78E+04,2.00E+00
2.9847,-6.38E+05,1.13E+04,1.211,0.1392,7.64E+03,-8.90E-03,1.39E-01,-1.20E+05,5.80E+04,2.00E+00
2.9572,-3.23E+06,1.97E+04,0.5902,0.0659,9.98E+03,-1.28E-01,6.47E-02,-4.84E+05,6.28E+04,1.00E+00
2.9251,-3.24E+06,1.93E+04,0.6861,0.0643,9.63E+03,-1.67E-01,6.31E-02,-4.83E+05,5.83E+04,1.00E+00
2.9306,-3.21E+06,1.99E+04,0.6634,0.066,1.01E+04,-1.73E-01,6.52E-02,-4.82E+05,6.43E+04,1.00E+00
2.7642,-1.57E+06,1.13E+04,0.5979,0.0738,6.01E+03,-3.54E-02,7.27E-02,-2.43E+05,4.42E+04,1.00E+00
5.2911,-4.97E+05,2.48E+04,3.207,0.3136,1.44E+04,-1.32E-02,3.14E-01,-1.11E+05,8.13E+04,3.00E+00
5.5638,-5.03E+05,2.34E+04,3.0652,0.2995,1.39E+04,9.04E-02,3.00E-01,-1.11E+05,7.99E+04,3.00E+00
5.5423,-5.14E+05,2.26E+04,2.9838,0.2929,1.37E+04,1.30E-01,2.93E-01,-1.12E+05,7.68E+04,3.00E+00
5.3959,-5.07E+05,2.26E+04,3.1189,0.2915,1.39E+04,1.64E-01,2.91E-01,-1.11E+05,7.76E+04,3.00E+00
7.9637,-4.34E+05,4.19E+04,6.2391,0.5804,-1.93E+04,-2.10E-03,5.80E-01,-8.13E+04,8.56E+04,4.00E+00
7.8522,-4.32E+05,4.08E+04,6.1885,0.5702,-1.67E+04,1.95E-02,5.70E-01,-8.19E+04,8.44E+04,4.00E+00
7.595,-4.18E+05,4.32E+04,6.1242,0.5919,-2.04E+04,3.34E-02,5.92E-01,-7.95E+04,8.86E+04,4.00E+00
7.6494,-4.06E+05,4.84E+04,7.0391,0.6695,-4.12E+04,5.69E-02,6.69E-01,-6.71E+04,8.78E+04,4.00E+00
